	0	1	2	LOF
0	0.9854593147551667	0.014540685244833377	0.0	0.008528997179369795
1	0.996756627464312	0.0018527791074005088	0.0013905934282874002	0.011329313541674891
2	0.9888660840918205	0.008426101528508539	0.0027078143796708995	0.002125865456768218
3	0.9905376035823991	0.0050664338396424055	0.004395962577958497	0.0006570580626119547
4	0.992021582141183	0.007978417858817026	0.0	0.004507862034411322
5	0.9919274594104313	0.0	0.008072540589568715	0.010662513149388469
6	0.995610680358845	0.0	0.004389319641154953	0.002816471917015647
7	0.9892791389762223	0.0	0.010720861023777749	0.003327551888182247
8	0.9926248998218717	0.0018511634560249158	0.005523936722103366	0.003113223960942009
9	0.1676392256198812	0.8323607743801189	0.0	0.00578525974706882
10	0.006113480074103991	0.993886519925896	0.0	0.0053813077752124065
11	0.007896358941957206	0.9921036410580427	0.0	0.0010725837621166016
12	0.004166156397601589	0.9944456961311646	0.0013881474712337343	0.0034262895470131938
13	0.007191035032349325	0.9928089649676507	0.0	0.00031533051201743274
14	0.0038975743583813238	0.9852051349422607	0.010897290699357989	0.0014589798090762932
15	0.010629088837531334	0.9893709111624687	0.0	0.002983197823059857
16	0.007519388809041541	0.9916427701361369	0.0008378410548215974	0.0007891760483660573
17	0.008666755084628474	0.9839208118013599	0.007412433114011625	0.003632020561515733
18	0.006705937928234679	0.9932940620717653	0.0	0.004290284148096959
19	0.004298822166492475	0.9877428822809486	0.007958295552558878	0.002082398776903542
20	0.008434477142956233	0.9879491290297913	0.003616393827252505	0.0061580175378221575
21	0.003951949574756633	0.9930153494304902	0.003032700994753224	0.003384488347955138
22	0.00455933602838069	0.9821726859535832	0.013267978018036192	0.0008218158181265326
23	0.005716727761124945	0.9878455012718201	0.0064377709670548925	0.0048195635809528976
24	0.011288852740637898	0.9871240617021456	0.0015870855572164934	0.004441882564344962
25	0.007493592876473845	0.9901281169353301	0.0023782901881960108	0.004706044436853397
26	0.0027109900492500293	0.9809774530199025	0.016311556930847456	0.0014508125920612354
27	0.005536258193152453	0.9884931139070327	0.005970627899814817	0.0009512784434873201
28	0.005169026410998543	0.9703230450253582	0.024507928563643352	0.004584009257935593
29	0.01000750414057216	0.9847942783398821	0.005198217519545759	0.00820413563916661
30	0.008679637343228352	0.9891333841024313	0.002186978554340356	0.0021815982057229347
31	0.007654115931201015	0.982222391263275	0.010123492805523894	0.0012368590007248053
32	0.006724954210710054	0.9894528542597405	0.0038221915295494455	0.0009124527363102872
33	0.005509734213983974	0.9809299643519915	0.013560301434024473	0.0024001428630529772
34	0.004439808889251902	0.9799994492613113	0.015560741849436703	0.0005313809311493147
35	0.007047711534668044	0.9865393024523862	0.006412986012945842	0.0010761969633790497
36	0.009202824564748906	0.990797175435251	0.0	0.0019637811487646325
37	0.00678711124314505	0.9870864460746378	0.006126442682217147	0.0023065819965066743
38	0.0033935784617839613	0.9896493868062979	0.0069570347319181615	0.008027146168768434
39	0.0027930030129962318	0.9784222799283219	0.018784717058681934	0.0019906296379488854
40	0.0038584709308990455	0.9859896546661828	0.01015187440291818	0.00209452779273589
41	0.0019180759704385275	0.9824980774727738	0.0155838465567877	0.0031606598006224127
42	0.00256419794543609	0.9839327670825841	0.013503034971979742	0.0010651990565115625
43	0.008088775863102433	0.9827376764217911	0.009173547715106485	0.0011872070325190105
44	0.004351885126277893	0.9711417703558423	0.02450634451787998	0.0030174396202683343
45	0.0015523428015731713	0.9720603205611503	0.026387336637276586	0.00771708614468111
46	0.004307461517459303	0.9791079369092011	0.016584601573339686	0.007098055706075992
47	0.0065677643026247024	0.9813313288889448	0.012100906808430631	0.0021142603688172426
48	0.0098140775385413	0.9772235205361601	0.0129624019252986	0.004570720157309389
49	0.008858723604008691	0.9887690248467823	0.002372251549208986	0.008937781648828058
50	0.002660530627673989	0.9747974449044234	0.02254202446790264	0.005905026471879983
51	0.0035042261340005086	0.981521321001167	0.014974452864832575	0.00010565071676301574
52	0.0038366550563010905	0.9756407965121258	0.020522548431573147	0.001255478185294569
53	0.005462845378833198	0.9760807561594816	0.01845639846168522	0.0046488996144300075
54	0.008359397246296807	0.9835944662812316	0.00804613647247162	0.006458989870054663
