# Plot Data for 350 Air 5wt% Pd_Al2O3_PdK_mu_timeseries_nAverage300.dat
#---------------------------------
#  X1          data__mag_    X2         model__mag_  
 3.313398502  0.124880262  3.313398502  0.132916351
 3.344078118  0.103286204  3.344078118  0.118542020
 3.374757733  0.083602882  3.374757733  0.105960097
 3.405437349  0.066124628  3.405437349  0.095107581
 3.436116965  0.051113039  3.436116965  0.085846269
 3.466796581  0.038872019  3.466796581  0.077984659
 3.497476196  0.029846482  3.497476196  0.071297807
 3.528155812  0.024584777  3.528155812  0.065545111
 3.558835428  0.023156648  3.558835428  0.060486948
 3.589515044  0.024507226  3.589515044  0.055900851
 3.620194659  0.027156299  3.620194659  0.051596920
 3.650874275  0.030117035  3.650874275  0.047431156
 3.681553891  0.032933081  3.681553891  0.043315240
 3.712233507  0.035438244  3.712233507  0.039221733
 3.742913122  0.037596514  3.742913122  0.035184355
 3.773592738  0.039425162  3.773592738  0.031293169
 3.804272354  0.040960687  3.804272354  0.027683571
 3.834951970  0.042244485  3.834951970  0.024515643
 3.865631585  0.043317310  3.865631585  0.021938088
 3.896311201  0.044217189  3.896311201  0.020035261
 3.926990817  0.044978116  3.926990817  0.018775573
 3.957670433  0.045628207  3.957670433  0.018001074
 3.988350049  0.046186947  3.988350049  0.017477982
 4.019029664  0.046661844  4.019029664  0.016974029
 4.049709280  0.047045289  4.049709280  0.016314491
 4.080388896  0.047312590  4.080388896  0.015402955
 4.111068512  0.047422023  4.111068512  0.014219555
 4.141748127  0.047317289  4.141748127  0.012811396
 4.172427743  0.046932245  4.172427743  0.011283217
 4.203107359  0.046197322  4.203107359  0.009790161
 4.233786975  0.045046813  4.233786975  0.008525970
 4.264466590  0.043426250  4.264466590  0.007683135
 4.295146206  0.041299264  4.295146206  0.007360108
 4.325825822  0.038653671  4.325825822  0.007475704
 4.356505438  0.035506932  4.356505438  0.007814046
 4.387185053  0.031911794  4.387185053  0.008151943
 4.417864669  0.027964137  4.417864669  0.008331315
 4.448544285  0.023817661  4.448544285  0.008265859
 4.479223901  0.019715668  4.479223901  0.007926354
 4.509903516  0.016057584  4.509903516  0.007326177
