# Plot Data for PdO Reference_PdK_mu_ref_timeseries_nAverage300.dat
#---------------------------------
#  X1          data__mag_    X2         model__mag_  
 3.344078118  0.250023031  3.344078118  0.084153922
 3.374757733  0.237904687  3.374757733  0.040656076
 3.405437349  0.236203642  3.405437349  0.067830553
 3.436116965  0.245983344  3.436116965  0.111914614
 3.466796581  0.264090743  3.466796581  0.144244433
 3.497476196  0.285486692  3.497476196  0.159938848
 3.528155812  0.305454836  3.528155812  0.158336002
 3.558835428  0.320435707  3.558835428  0.141057159
 3.589515044  0.328050093  3.589515044  0.111457917
 3.620194659  0.326935363  3.620194659  0.074449438
 3.650874275  0.316620634  3.650874275  0.038462113
 3.681553891  0.297463891  3.681553891  0.032209510
 3.712233507  0.270622830  3.712233507  0.059378526
 3.742913122  0.238039340  3.742913122  0.085233842
 3.773592738  0.202449705  3.773592738  0.101924781
 3.804272354  0.167468998  3.804272354  0.107640704
 3.834951970  0.137743996  3.834951970  0.102514229
 3.865631585  0.118609982  3.865631585  0.087982826
 3.896311201  0.113546412  3.896311201  0.066483517
 3.926990817  0.120499355  3.926990817  0.041359928
 3.957670433  0.133554207  3.957670433  0.018835797
 3.988350049  0.147644802  3.988350049  0.021495918
 4.019029664  0.159971820  4.019029664  0.039723487
 4.049709280  0.169388872  4.049709280  0.054378747
 4.080388896  0.175817815  4.080388896  0.062458074
 4.111068512  0.180115336  4.111068512  0.063398312
 4.141748127  0.184278576  4.141748127  0.057666207
 4.172427743  0.191636627  4.172427743  0.046461684
 4.203107359  0.206371158  4.203107359  0.031526414
 4.233786975  0.231933344  4.233786975  0.015180985
 4.264466590  0.269298586  4.264466590  0.006935251
 4.295146206  0.316628073  4.295146206  0.019329995
 4.325825822  0.370219495  4.325825822  0.030862130
 4.356505438  0.425562319  4.356505438  0.038451870
 4.387185053  0.478009786  4.387185053  0.041498473
 4.417864669  0.523188054  4.417864669  0.040067847
 4.448544285  0.557299359  4.448544285  0.034727539
 4.479223901  0.577372390  4.479223901  0.026439531
 4.509903516  0.581454579  4.509903516  0.016499134
 4.540583132  0.568726026  4.540583132  0.007130251
 4.571262748  0.539519671  4.571262748  0.007798091
 4.601942364  0.495245079  4.601942364  0.015386063
 4.632621979  0.438230084  4.632621979  0.021534330
 4.663301595  0.371517678  4.663301595  0.025109778
 4.693981211  0.298699845  4.693981211  0.025902972
 4.724660827  0.224004359  4.724660827  0.024094746
 4.755340442  0.153433141  4.755340442  0.020145951
 4.786020058  0.100452690  4.786020058  0.014722275
 4.816699674  0.095310789  4.816699674  0.008675569
