# Plot Data for 350 H2 5wt% Pd K edge
#---------------------------------
#  X1          data__mag_    X2         model__mag_  
 3.344078118  0.085863139  3.344078118  0.013603940
 3.374757733  0.098523368  3.374757733  0.004394062
 3.405437349  0.109246774  3.405437349  0.013053856
 3.436116965  0.116997797  3.436116965  0.022129841
 3.466796581  0.121286974  3.466796581  0.029062986
 3.497476196  0.122011409  3.497476196  0.033729949
 3.528155812  0.119365055  3.528155812  0.036248655
 3.558835428  0.113779863  3.558835428  0.036856942
 3.589515044  0.105881081  3.589515044  0.035870175
 3.620194659  0.096449785  3.620194659  0.033650041
 3.650874275  0.086387213  3.650874275  0.030577584
 3.681553891  0.076668306  3.681553891  0.027030082
 3.712233507  0.068253651  3.712233507  0.023362013
 3.742913122  0.061913279  3.742913122  0.019889375
 3.773592738  0.057965226  3.773592738  0.016874002
 3.804272354  0.056093777  3.804272354  0.014501433
 3.834951970  0.055471005  3.834951970  0.012849453
 3.865631585  0.055120475  3.865631585  0.011866103
 3.896311201  0.054231880  3.896311201  0.011395307
 3.926990817  0.052291187  3.926990817  0.011250403
 3.957670433  0.049089663  3.957670433  0.011278839
 3.988350049  0.044704502  3.988350049  0.011380107
 4.019029664  0.039509799  4.019029664  0.011491009
 4.049709280  0.034258289  4.049709280  0.011565509
 4.080388896  0.030224064  4.080388896  0.011563242
 4.111068512  0.029078825  4.111068512  0.011448180
 4.141748127  0.031825652  4.141748127  0.011193425
 4.172427743  0.037828928  4.172427743  0.010787492
 4.203107359  0.045689130  4.203107359  0.010238994
 4.233786975  0.054263966  4.233786975  0.009578374
 4.264466590  0.062811727  4.264466590  0.008856208
 4.295146206  0.070858673  4.295146206  0.008137602
 4.325825822  0.078094566  4.325825822  0.007491697
 4.356505438  0.084315861  4.356505438  0.006975693
 4.387185053  0.089395223  4.387185053  0.006616689
 4.417864669  0.093263640  4.417864669  0.006401073
 4.448544285  0.095898663  4.448544285  0.006281029
 4.479223901  0.097316019  4.479223901  0.006195188
 4.509903516  0.097563442  4.509903516  0.006089840
 4.540583132  0.096716285  4.540583132  0.005931022
 4.571262748  0.094874649  4.571262748  0.005707060
 4.601942364  0.092161830  4.601942364  0.005425132
 4.632621979  0.088723748  4.632621979  0.005104868
 4.663301595  0.084728837  4.663301595  0.004770642
 4.693981211  0.080367603  4.693981211  0.004443771
 4.724660827  0.075850558  4.724660827  0.004136219
 4.755340442  0.071402678  4.755340442  0.003847828
 4.786020058  0.067251873  4.786020058  0.003568359
 4.816699674  0.063609155  4.816699674  0.003283549
 4.847379290  0.060640334  4.847379290  0.002982599
 4.878058905  0.058434341  4.878058905  0.002664588
 4.908738521  0.056979602  4.908738521  0.002342757
 4.939418137  0.056161176  4.939418137  0.002046413
 4.970097753  0.055783044  4.970097753  0.001818110
 5.000777369  0.055606904  5.000777369  0.001698732
 5.031456984  0.055392474  5.031456984  0.001698620
 5.062136600  0.054928135  5.062136600  0.001783034
 5.092816216  0.054048703  5.092816216  0.001894820
 5.123495832  0.052642544  5.123495832  0.001983647
 5.154175447  0.050651754  5.154175447  0.002016771
 5.184855063  0.048068487  5.184855063  0.001978115
 5.215534679  0.044929373  5.215534679  0.001864820
 5.246214295  0.041309191  5.246214295  0.001684065
 5.276893910  0.037314502  5.276893910  0.001450391
 5.307573526  0.033077853  5.307573526  0.001183511
 5.338253142  0.028753255  5.338253142  9.070868e-4
 5.368932758  0.024513790  5.368932758  6.504868e-4
 5.399612373  0.020552042  5.399612373  4.592888e-4
 5.430291989  0.017081774  5.430291989  4.044260e-4
 5.460971605  0.014330122  5.460971605  4.951937e-4
 5.491651221  0.012489624  5.491651221  6.518111e-4
 5.522330836  0.011604869  5.522330836  8.283354e-4
 5.553010452  0.011482442  5.553010452  0.001013220
 5.583690068  0.011776116  5.583690068  0.001203094
 5.614369684  0.012164316  5.614369684  0.001392342
 5.645049299  0.012437740  5.645049299  0.001570561
 5.675728915  0.012494348  5.675728915  0.001723525
 5.706408531  0.012308807  5.706408531  0.001835520
 5.737088147  0.011906471  5.737088147  0.001891874
 5.767767762  0.011345306  5.767767762  0.001881170
 5.798447378  0.010702485  5.798447378  0.001797027
 5.829126994  0.010062016  5.829126994  0.001639536
 5.859806610  0.009500707  5.859806610  0.001416799
 5.890486225  0.009072174  5.890486225  0.001147854
 5.921165841  0.008793174  5.921165841  8.714434e-4
 5.951845457  0.008639889  5.951845457  6.710276e-4
 5.982525073  0.008557863  5.982525073  6.745744e-4
 6.013204689  0.008480060  6.013204689  8.766421e-4
 6.043884304  0.008343493  6.043884304  0.001146523
 6.074563920  0.008099076  6.074563920  0.001400991
 6.105243536  0.007715008  6.105243536  0.001599670
 6.135923152  0.007176221  6.135923152  0.001720721
 6.166602767  0.006482161  6.166602767  0.001752666
 6.197282383  0.005644406  6.197282383  0.001691894
 6.227961999  0.004685545  6.227961999  0.001541633
 6.258641615  0.003642597  6.258641615  0.001311172
 6.289321230  0.002588349  6.289321230  0.001015056
 6.320000846  0.001737296  6.320000846  6.724717e-4
 6.350680462  0.001688572  6.350680462  3.102226e-4
 6.381360078  0.002588490  6.381360078  1.385809e-4
 6.412039693  0.003870488  6.412039693  4.617026e-4
 6.442719309  0.005297396  6.442719309  7.815362e-4
 6.473398925  0.006803827  6.473398925  0.001050759
 6.504078541  0.008365486  6.504078541  0.001253497
 6.534758156  0.009967646  6.534758156  0.001380171
 6.565437772  0.011595384  6.565437772  0.001426481
 6.596117388  0.013229536  6.596117388  0.001393222
 6.626797004  0.014844949  6.626797004  0.001285993
 6.657476619  0.016410083  6.657476619  0.001114714
 6.688156235  0.017887605  6.688156235  8.930788e-4
 6.718835851  0.019235693  6.718835851  6.384911e-4
 6.749515467  0.020409858  6.749515467  3.757592e-4
 6.780195082  0.021365059  6.780195082  1.822725e-4
 6.810874698  0.022057968  6.810874698  2.854472e-4
 6.841554314  0.022449211  6.841554314  5.010317e-4
 6.872233930  0.022505485  6.872233930  6.968891e-4
 6.902913545  0.022201447  6.902913545  8.500227e-4
 6.933593161  0.021521291  6.933593161  9.521873e-4
 6.964272777  0.020459984  6.964272777  0.001000806
 6.994952393  0.019024115  6.994952393  9.974693e-4
 7.025632009  0.017232412  7.025632009  9.473890e-4
 7.056311624  0.015116085  7.056311624  8.590820e-4
 7.086991240  0.012719452  7.086991240  7.443317e-4
 7.117670856  0.010102433  7.117670856  6.188206e-4
 7.148350472  0.007351279  7.148350472  5.039821e-4
 7.179030087  0.004633630  7.179030087  4.283849e-4
 7.209709703  0.002595942  7.209709703  4.166885e-4
 7.240389319  0.003266228  7.240389319  4.630033e-4
 7.271068935  0.005697100  7.271068935  5.366034e-4
 7.301748550  0.008354701  7.301748550  6.114602e-4
 7.332428166  0.010916531  7.332428166  6.736309e-4
 7.363107782  0.013274176  7.363107782  7.172965e-4
 7.393787398  0.015367641  7.393787398  7.413648e-4
 7.424467013  0.017158304  7.424467013  7.475255e-4
 7.455146629  0.018622375  7.455146629  7.389817e-4
 7.485826245  0.019748554  7.485826245  7.194407e-4
 7.516505861  0.020536550  7.516505861  6.922529e-4
 7.547185476  0.020995594  7.547185476  6.597595e-4
 7.577865092  0.021142727  7.577865092  6.229819e-4
 7.608544708  0.021000899  7.608544708  5.817538e-4
 7.639224324  0.020597002  7.639224324  5.352726e-4
 7.669903939  0.019960033  7.669903939  4.829312e-4
 7.700583555  0.019119618  7.700583555  4.252943e-4
 7.731263171  0.018105153  7.731263171  3.652373e-4
 7.761942787  0.016945793  7.761942787  3.094437e-4
 7.792622402  0.015671528  7.792622402  2.698472e-4
 7.823302018  0.014315619  7.823302018  2.607483e-4
 7.853981634  0.012918728  7.853981634  2.863698e-4
 7.884661250  0.011535204  7.884661250  3.350742e-4
 7.915340865  0.010241674  7.915340865  3.911154e-4
 7.946020481  0.009145793  7.946020481  4.426810e-4
 7.976700097  0.008384953  7.976700097  4.820293e-4
 8.007379713  0.008092835  8.007379713  5.042354e-4
 8.038059329  0.008328217  8.038059329  5.064507e-4
 8.068738944  0.009029208  8.068738944  4.875594e-4
 8.099418560  0.010053123  8.099418560  4.479991e-4
 8.130098176  0.011248285  8.130098176  3.896309e-4
 8.160777792  0.012491033  8.160777792  3.156509e-4
 8.191457407  0.013690095  8.191457407  2.307080e-4
 8.222137023  0.014780398  8.222137023  1.423426e-4
 8.252816639  0.015716813  8.252816639  7.454807e-5
 8.283496255  0.016469896  8.283496255  1.012137e-4
 8.314175870  0.017023184  8.314175870  1.781793e-4
 8.344855486  0.017371330  8.344855486  2.540437e-4
 8.375535102  0.017518578  8.375535102  3.184814e-4
 8.406214718  0.017477286  8.406214718  3.675840e-4
 8.436894333  0.017266351  8.436894333  3.994845e-4
 8.467573949  0.016909485  8.467573949  4.136701e-4
 8.498253565  0.016433355  8.498253565  4.107570e-4
 8.528933181  0.015865643  8.528933181  3.923140e-4
 8.559612796  0.015233101  8.559612796  3.606599e-4
 8.590292412  0.014559740  8.590292412  3.186289e-4
 8.620972028  0.013865272  8.620972028  2.693178e-4
 8.651651644  0.013163968  8.651651644  2.158496e-4
 8.682331259  0.012464062  8.682331259  1.612234e-4
 8.713010875  0.011767762  8.713010875  1.085012e-4
 8.743690491  0.011071875  8.743690491  6.275646e-5
 8.774370107  0.010368899  8.774370107  4.309223e-5
 8.805049722  0.009648420  8.805049722  6.809037e-5
 8.835729338  0.008898568  8.835729338  1.067304e-4
 8.866408954  0.008107380  8.866408954  1.460621e-4
 8.897088570  0.007263940  8.897088570  1.835910e-4
 8.927768185  0.006359336  8.927768185  2.182319e-4
 8.958447801  0.005387573  8.958447801  2.489111e-4
 8.989127417  0.004346984  8.989127417  2.743772e-4
 9.019807033  0.003244107  9.019807033  2.933075e-4
 9.050486649  0.002110851  9.050486649  3.045118e-4
 9.081166264  0.001133107  9.081166264  3.071553e-4
 9.111845880  0.001272590  9.111845880  3.009660e-4
 9.142525496  0.002461239  9.142525496  2.864162e-4
 9.173205112  0.003891651  9.173205112  2.648928e-4
 9.203884727  0.005417060  9.203884727  2.388879e-4
