E	0
24100.021	-0.0002548373308888962
24100.178	-0.0002720991787982491
24100.332	-0.0002891498726047353
24100.488	-0.0003046972297868397
24100.645	-0.0003197849875611279
24100.8	-0.000332618319772002
24100.957	-0.0003438723477041951
24101.113	-0.0003531460651364321
24101.268	-0.00035924685789778165
24101.424	-0.000364411208073838
24101.58	-0.00036500431673176206
24101.736	-0.00036559765150812225
24101.893	-0.000361214413179186
24102.047	-0.000356823712941858
24102.203	-0.0003497440402111823
24102.36	-0.00034192532334347583
24102.516	-0.00033352426621005435
24102.672	-0.00032472027077690754
24102.828	-0.00031646346277980055
24102.982	-0.0003091319648067498
24103.139	-0.00030231337957803867
24103.295	-0.0002979532213291907
24103.451	-0.00029363418327257575
24103.607	-0.00029300555963845753
24103.764	-0.00029237693600433926
24103.918	-0.0002945178518432671
24104.074	-0.0002972876186910407
24104.23	-0.00030151225420416665
24104.387	-0.0003065953262329141
24104.543	-0.000312062842756857
24104.7	-0.0003180081561143621
24104.855	-0.0003238122055964489
24105.01	-0.00032915144563593784
24105.166	-0.0003344444292811088
24105.322	-0.00033827208559760504
24105.479	-0.00034209974191410123
24105.635	-0.0003439689233087224
24105.791	-0.0003456056560475666
24105.945	-0.00034546707218135515
24106.102	-0.0003446116393947354
24106.258	-0.0003423869573543566
24106.414	-0.00033893951303111544
24106.57	-0.00033461576260947564
24106.727	-0.0003286963203201744
24106.883	-0.00032240678703815103
24107.037	-0.00031454866252671085
24107.191	-0.00030668753643982695
24107.348	-0.0002974918223529214
24107.504	-0.00028827472472385616
24107.66	-0.0002789081722842446
24107.816	-0.000269508745286036
24107.97	-0.0002608354465943521
24108.127	-0.00025239358044006814
24108.283	-0.00024479749901823217
24108.44	-0.00023816098775869535
24108.596	-0.00023213192519820763
24108.752	-0.0002275009038963268
24108.908	-0.00022307500130747893
24109.064	-0.00021992922463158284
24109.219	-0.00021682126345291765
24109.375	-0.00021421692213456276
24109.531	-0.00021163005632337267
24109.688	-0.0002088083850971018
24109.844	-0.00020592991764879312
24110.0	-0.00020259252167171388
24110.156	-0.00019900169675859863
24110.312	-0.00019512475970630977
24110.467	-0.00019099958481772858
24110.623	-0.0001868186962010918
24110.78	-0.0001826357918009665
24110.936	-0.00017859005959152297
24111.092	-0.00017525334247221218
24111.248	-0.00017193441729071874
24111.404	-0.00017029858574576194
24111.56	-0.00016866214267499395
24111.717	-0.0001689071589157103
24111.871	-0.00016945691290241833
24112.027	-0.0001714023074359595
24112.184	-0.00017395825441593834
24112.34	-0.0001770664544811054
24112.496	-0.00018063325393414642
24112.652	-0.0001839956525418212
24112.809	-0.00018704513064901986
24112.965	-0.00018959445517699352
24113.121	-0.00019065430818721637
24113.277	-0.00019142236649550456
24113.432	-0.0001897883143162384
24113.588	-0.00018813269659161992
24113.744	-0.0001842463073226554
24113.9	-0.0001802465794297003
24114.057	-0.00017531789904242485
24114.213	-0.0001701690101554574
24114.37	-0.0001651049441096987
24114.525	-0.00016008125948627878
24114.682	-0.00015544082154307374
24114.838	-0.00015113796578420272
24114.994	-0.00014695457241715044
24115.148	-0.00014300577145349804
24115.303	-0.00013884199791507133
24115.459	-0.00013392197708751087
24115.615	-0.00012876632323937016
24115.771	-0.00012147608779449645
24115.928	-0.00011418179996749662
24116.084	-0.00010363745220047335
24116.24	-9.297457767742417e-05
24116.396	-7.945321071635505e-05
24116.55	-6.553505445701393e-05
24116.707	-4.978637461464855e-05
24116.863	-3.329670286663244e-05
24117.02	-1.658208613555002e-05
24117.176	3.137921273812379e-07
24117.332	1.627702435284048e-05
24117.488	3.10379972493951e-05
24117.645	4.434544199534385e-05
24117.8	5.443224164847473e-05
24117.957	6.32818942868199e-05
24118.113	6.674668450069044e-05
24118.27	6.973729873177876e-05
24118.426	6.579862519288487e-05
24118.582	6.185922603248418e-05
24118.738	5.1619883690364483e-05
24118.893	4.112961676029287e-05
24119.049	2.682314146840972e-05
24119.205	1.1656644231779412e-05
24119.361	-4.58009731807002e-06
24119.518	-2.1294849540913274e-05
24119.674	-3.71512486034639e-05
24119.83	-5.237475162280953e-05
24119.986	-6.583449583089129e-05
24120.143	-7.722494178259128e-05
24120.299	-8.684745003791716e-05
24120.455	-9.313948977042593e-05
24120.611	-9.820066392020084e-05
24120.768	-9.924202825098502e-05
24120.924	-9.972906246745424e-05
24121.08	-9.629908120636822e-05
24121.236	-9.282351040528969e-05
24121.393	-8.632129576101005e-05
24121.549	-7.981789067098812e-05
24121.705	-7.199070356217004e-05
24121.861	-6.402488940043558e-05
24122.016	-5.611107177350672e-05
24122.172	-4.8082965444597014e-05
24122.328	-4.059803234304934e-05
24122.484	-3.336615121592484e-05
24122.64	-2.671414172330523e-05
24122.797	-2.048265244213722e-05
24122.953	-1.4567484549062813e-05
24123.11	-8.996701148696423e-06
24123.266	-3.4405686849765426e-06
24123.42	2.0220944436666293e-06
24123.576	7.717788823532458e-06
24123.732	1.3862619229278778e-05
24123.889	2.0198210692221884e-05
24124.045	2.7469353280689856e-05
24124.201	3.484688547470014e-05
24124.357	4.357412385782529e-05
24124.514	5.230453809189044e-05
24124.67	6.255806825176959e-05
24124.826	7.284939559257822e-05
24124.982	8.427589248683867e-05
24125.139	9.585311835659071e-05
24125.295	0.00010768025181559428
24125.451	0.00011957619924552256
24125.607	0.00013039588010023927
24125.764	0.00014076032362949652
24125.92	0.00014868254478314345
24126.076	0.00015506512582686257
24126.232	0.00015818632427755508
24126.389	0.00015836444150820123
24126.545	0.00015538611763221734
24126.701	0.00014838588012696947
24126.857	0.0001391539910570573
24127.014	0.0001258800637282766
24127.168	0.00011184157847603886
24127.324	9.501010631069588e-05
24127.48	7.823408409958858e-05
24127.637	6.173483055992012e-05
24127.793	4.5669817072550894e-05
24127.95	3.362435058298681e-05
24128.105	2.1732438011364346e-05
24128.262	1.7493073733974584e-05
24128.418	1.325294464253514e-05
24128.574	1.7938999111561787e-05
24128.732	2.3230477315785305e-05
24128.889	3.623062641094167e-05
24129.045	5.0293949615710435e-05
24129.201	6.911135116309765e-05
24129.357	8.907837632694917e-05
24129.514	0.00011002622436049117
24129.67	0.00013133574346339784
24129.826	0.0001502515394670139
24129.982	0.00016795434186782525
24130.139	0.00018121864919125484
24130.295	0.00019143531346236023
24130.451	0.00019683922597599234
24130.607	0.00019787890186165907
24130.764	0.00019510010229180556
24130.92	0.00018779474595099653
24131.076	0.00017830521974974105
24131.232	0.0001654346116392155
24131.389	0.00015192201695802586
24131.545	0.00013710562472138914
24131.7	0.0001228224467560911
24131.855	0.00010940584084664673
24132.012	9.670229860928444e-05
24132.168	8.700760028189541e-05
