E;11
24100.021;8.65E-05
24100.178;7.18E-05
24100.332;5.72E-05
24100.488;4.30E-05
24100.645;2.89E-05
24100.8;1.51E-05
24100.957;1.45E-06
24101.113;-1.20E-05
24101.268;-2.52E-05
24101.424;-3.85E-05
24101.58;-5.16E-05
24101.736;-6.48E-05
24101.893;-7.79E-05
24102.047;-9.09E-05
24102.203;-1.04E-04
24102.36;-1.17E-04
24102.516;-1.31E-04
24102.672;-1.44E-04
24102.828;-1.57E-04
24102.982;-1.71E-04
24103.139;-1.84E-04
24103.295;-1.97E-04
24103.451;-2.10E-04
24103.607;-2.23E-04
24103.764;-2.36E-04
24103.918;-2.48E-04
24104.074;-2.59E-04
24104.23;-2.70E-04
24104.387;-2.80E-04
24104.543;-2.90E-04
24104.7;-2.98E-04
24104.855;-3.06E-04
24105.01;-3.11E-04
24105.166;-3.17E-04
24105.322;-3.20E-04
24105.479;-3.23E-04
24105.635;-3.23E-04
24105.791;-3.22E-04
24105.945;-3.19E-04
24106.102;-3.15E-04
24106.258;-3.09E-04
24106.414;-3.02E-04
24106.57;-2.93E-04
24106.727;-2.81E-04
24106.883;-2.69E-04
24107.035;-2.55E-04
24107.191;-2.41E-04
24107.348;-2.23E-04
24107.504;-2.06E-04
24107.66;-1.86E-04
24107.816;-1.67E-04
24107.97;-1.46E-04
24108.127;-1.25E-04
24108.283;-1.03E-04
24108.44;-8.09E-05
24108.596;-5.89E-05
24108.752;-3.70E-05
24108.908;-1.53E-05
24109.064;5.56E-06
24109.219;2.60E-05
24109.375;4.49E-05
24109.531;6.38E-05
24109.688;8.00E-05
24109.844;9.61E-05
24110;1.09E-04
24110.156;1.22E-04
24110.312;1.32E-04
24110.467;1.41E-04
24110.623;1.47E-04
24110.78;1.51E-04
24110.936;1.54E-04
24111.092;1.54E-04
24111.248;1.53E-04
24111.404;1.48E-04
24111.56;1.43E-04
24111.717;1.34E-04
24111.871;1.25E-04
24112.027;1.12E-04
24112.184;9.89E-05
24112.34;8.31E-05
24112.496;6.64E-05
24112.652;4.78E-05
24112.809;2.80E-05
24112.965;7.06E-06
24113.121;-1.52E-05
24113.277;-3.82E-05
24113.432;-6.21E-05
24113.588;-8.65E-05
24113.744;-1.12E-04
24113.9;-1.37E-04
24114.057;-1.63E-04
24114.213;-1.89E-04
24114.37;-2.15E-04
24114.525;-2.41E-04
24114.682;-2.66E-04
24114.838;-2.91E-04
