Energy	0	1	2
24100.021	-0.000184175513740502	-0.000735066328581859	0.0009071835942352429
24100.178	-0.000205927963841326	-0.000752987657280805	0.000803979754977263
24100.332000000002	-0.000227406328087502	-0.0007706831731324559	0.000702000301106577
24100.487999999998	-0.00024861824438972204	-0.0007847690815731379	0.0005983306812179
24100.645	-0.000269686674986214	-0.0007978504888833451	0.000494515495051682
24100.8	-0.000290265146687898	-0.000808233877584146	0.000391492622176988
24100.957000000002	-0.000310505076192742	-0.000816805609606555	0.00028899385587421403
24101.112999999998	-0.000330360035387406	-0.000823671859795929	0.00018770478148262
24101.267999999996	-0.000349407990789307	-0.000827996766820789	8.97245744165197e-05
24101.424	-0.00036849107165640095	-0.0008315802940991481	-8.541867161472259e-06
24101.58	-0.00038673688285394104	-0.0008320531886182441	-0.000102078430212347
24101.736	-0.000404973119242194	-0.0008324717188665009	-0.000195650694241485
24101.892999999996	-0.000422119684913562	-0.0008292709174217651	-0.0002811413900053
24102.047000000002	-0.000439057384920109	-0.000826109105564479	-0.000365407342062051
24102.202999999998	-0.00045527333960321503	-0.000820053865091846	-0.00044232588881395996
24102.36	-0.00047127474484656506	-0.000813350200220979	-0.000516727587514149
24102.516	-0.00048652875957168605	-0.000804517912640115	-0.000583464204419553
24102.672000000002	-0.000501343064956115	-0.0007944251809048821	-0.000644538175026785
24102.827999999998	-0.000515611157081135	-0.000782861069040989	-0.000699722699132532
24102.982000000004	-0.000529022491830384	-0.000769620462593119	-0.0007448991650003889
24103.139	-0.000542283997070842	-0.00075540858883274	-0.000787598336936265
24103.295	-0.0005545843950064731	-0.0007387485987798009	-0.000816581852376493
24103.451	-0.000566796212352558	-0.000721880635986116	-0.000845587416896554
24103.607000000004	-0.0005777670016049231	-0.000702081659672846	-0.000857104503279085
24103.764	-0.000588737790857288	-0.0006822826833595759	-0.0008685030694095661
24103.917999999998	-0.000598383879908835	-0.000660159439076581	-0.0008653964065630429
24104.074	-0.0006079939796850759	-0.000637417640061502	-0.00085867406378353
24104.23	-0.000616636029316677	-0.0006128778102828	-0.000840685320599972
24104.387000000002	-0.0006248539224829611	-0.000587541550707553	-0.000815372876221192
24104.542999999998	-0.000632330648428341	-0.000561132735386401	-0.000782071846111347
24104.7	-0.000639115244638419	-0.000533721398200023	-0.0007378188143266411
24104.855	-0.000645388836237908	-0.000505833950039402	-0.000689126312139194
24105.01	-0.000650610988544379	-0.00047737543057240194	-0.000627024249009084
24105.166	-0.000655655635568727	-0.00044845156376566506	-0.000563366064563745
24105.322	-0.0006593521517966299	-0.00041899648123405	-0.00048346133183653603
24105.479	-0.0006630500655732009	-0.000389530262565372	-0.000403526332165113
24105.635	-0.0006650592980423519	-0.00036027030874393503	-0.000312005291090168
24105.791	-0.0006670367528881071	-0.000331003270983898	-0.00021859086733333501
24105.945	-0.000667505639061811	-0.000302888148368709	-0.000121003617989424
24106.102000000003	-0.000667620613126891	-0.00027461437362223597	-1.9614146437871803e-05
24106.257999999998	-0.000666481367099189	-0.000247426497067804	8.210095649731469e-05
24106.414	-0.00066459465947745	-0.00022086449784804301	0.00018422484773178001
24106.57	-0.0006617381059991491	-0.000195359246915778	0.00028391014632576
24106.727000000003	-0.000657732278640672	-0.000171084659665079	0.000378469343133727
24106.882999999998	-0.000653085864254217	-0.00014759709771133402	0.000470705319948116
24107.037	-0.000647035838502164	-0.00012656033991398702	0.0005483063048192411
24107.191000000003	-0.0006406014270152861	-0.000105263374055142	0.0006259369650191879
24107.347999999998	-0.0006321514437225191	-8.6584701282295e-05	0.0006828345334899769
24107.504	-0.000623698277761846	-6.78989932278011e-05	0.000738509068621502
24107.66	-0.000613140344853933	-5.1965282615895e-05	0.000772709572671524
24107.816000000003	-0.000602439032414692	-3.6220571827542e-05	0.000800689573020151
24107.97	-0.000590195158216334	-2.28476153012427e-05	0.000810707954040388
24108.127	-0.000577282816208126	-9.95259970573067e-06	0.000808980925301819
24108.283	-0.000563086320185313	1.35252849972784e-06	0.000794963859002109
24108.44	-0.0005480361560957769	1.159350073752e-05	0.0007642722580761441
24108.596	-0.0005320826960466309	2.07958744793868e-05	0.00072689281283613
24108.752	-0.000514979874724852	2.86738892646857e-05	0.00067023427697151
24108.908	-0.0004973268609006111	3.59874837113433e-05	0.0006115873337958401
24109.064	-0.000478278998330653	4.1855329631238705e-05	0.000533441647936664
24109.218999999997	-0.0004592640421106	4.74687013098932e-05	0.000456265438631379
24109.375	-0.000438391550398258	5.1719216531981395e-05	0.000363409823363148
24109.531000000003	-0.000417519058685917	5.59697317540696e-05	0.000269162841265081
24109.688	-0.000395030016838506	5.90550431993335e-05	0.000167284793463148
24109.843999999997	-0.000372460053612336	6.20889329117313e-05	6.286977604290611e-05
24110.0	-0.000348646395478847	6.44482607479976e-05	-4.36851624374334e-05
24110.156000000003	-0.000324509398674764	6.66436610460843e-05	-0.00015180081049211998
24110.312	-0.00029944535413724505	6.850969097101679e-05	-0.00025852987656862
24110.467	-0.000274213177319685	7.017678929184549e-05	-0.000362174696058439
24110.623	-0.000248025225228227	7.175087485206608e-05	-0.00046461641609160594
24110.78	-0.000221192960782604	7.320297343209109e-05	-0.000559894448354143
24110.936	-0.000194000963825767	7.464030810892621e-05	-0.000653563283267542
24111.092	-0.000166081397333879	7.60496921054854e-05	-0.000733451682375718
24111.248	-0.000137994172861891	7.74722108030202e-05	-0.000813340081483894
24111.404	-0.000109234014443838	7.894869284373321e-05	-0.00087458305358935
24111.56	-8.04403700439171e-05	8.042982114710821e-05	-0.000934839289701493
24111.717	-5.1124274767311606e-05	8.20036321743955e-05	-0.000977365010263212
24111.871	-2.21692960058714e-05	8.35580569516266e-05	-0.00101484634458616
24112.027000000002	7.32378744940016e-06	8.5186199465859e-05	-0.00103800170873008
24112.183999999997	3.6848084369876e-05	8.68218765477947e-05	-0.00105245335595884
24112.34	6.6191008809146e-05	8.844374813080358e-05	-0.00105557857485
24112.496	9.54815341804504e-05	9.006140321686179e-05	-0.00104636969887966
24112.652000000002	0.000124365059100022	9.161308781089642e-05	-0.0010296453135773
24112.808999999997	0.000152961360837616	9.31197792916046e-05	-0.000997629617646319
24112.965	0.000181008322785379	9.453990188362041e-05	-0.000961864495912488
24113.121	0.000208393395444646	9.585703974101491e-05	-0.0009092615295237551
24113.277000000002	0.00023524746074297798	9.71041060000999e-05	-0.0008560342303046
24113.432	0.000260588671454135	9.818508661800309e-05	-0.0007877185299172441
24113.588	0.000285885095752532	9.924828710400799e-05	-0.000718526326204164
24113.744	0.000309315142746702	0.000100153506012671	-0.000639963832734816
24113.9	0.00033266689370669504	0.000101056457493902	-0.000560100957695289
24114.057	0.000353390867890317	0.000101880840048936	-0.000477608263335048
24114.213	0.000374122540429877	0.00010270552883820401	-0.000394154356681932
24114.37	0.00039205563190592005	0.000103619185464754	-0.00031282376877362597
24114.525	0.000409674023390235	0.000104543365785584	-0.000232925250019429
24114.682	0.00042468335741803703	0.000105723128343134	-0.000157267724441976
24114.838	0.000438885932829115	0.000106982107826278	-8.67724971411489e-05
24114.994	0.000450817222095683	0.000108617743273777	-2.04198732403359e-05
24115.147999999997	0.00046128798309938895	0.000110449540785715	3.60565145349548e-05
24115.303	0.00047001770498765	0.00011268536750801299	9.028910421580359e-05
24115.459	0.00047695950236659504	0.000115387854924763	0.00013239398900973898
24115.615	0.000482649148879237	0.00011845883963197801	0.000174307060428953
24115.771	0.000485978705513086	0.000122220300153028	0.00020132032558883102
24115.928	0.00048854510146045	0.000126247987485721	0.000228343610505816
24116.084	0.000488397980810866	0.00013122177284917802	0.000243234619619802
24116.24	0.00048794412960206603	0.000136317745295896	0.000256453455231517
24116.396	0.000484511253813551	0.000142593410247511	0.0002608671637342
24116.55	0.00048112025784057097	0.00014879251440674	0.00026225623413534
24116.707000000002	0.00047474922173933203	0.00015633313342018	0.000257826426070696
24116.862999999998	0.00046824133592146506	0.000163934320582084	0.000249520707671565
24117.02	0.000459347091104747	0.00017259264501758899	0.000237483718191554
24117.176	0.000449971221116312	0.000181465717765615	0.000221251000269038
24117.332000000002	0.00043868968704679703	0.000191146151323423	0.000202784685659771
24117.487999999998	0.000426628547806358	0.00020115922063778201	0.00018003107298946298
24117.645	0.000413072687952759	0.000211719701494749	0.000156145370807173
24117.8	0.000398478898258686	0.000222661652646771	0.000128138514600935
24117.957000000002	0.00038274554948079597	0.00023391291225378398	9.978694044825841e-05
24118.112999999998	0.00036573241718267004	0.000245513961669079	6.7992303452352e-05
24118.27	0.000347893052383439	0.000257238426188551	3.6191799204739395e-05
24118.426	0.00032855107105916203	0.000269187641663535	2.5620334849115503e-06
24118.582000000002	0.000308668606041134	0.000281144752988587	-3.11476066170367e-05
24118.737999999998	0.000287065075940348	0.000293126608715265	-6.44514884530985e-05
24118.892999999996	0.00026548379872807403	0.0003049294546869	-9.727954993244069e-05
