E	0	1
24100.01	-3.90858417520421E-4	-3.58409939603765E-4
24100.164	-3.94883031570211E-4	-3.67714377844656E-4
24100.32	-3.98960786155027E-4	-3.77141527838918E-4
24100.477	-4.02812921515457E-4	-3.84680265084386E-4
24100.633	-4.06603012055394E-4	-3.91700789443807E-4
24100.79	-4.10149069044199E-4	-3.96346732295735E-4
24100.943	-4.13472071448082E-4	-3.99234336438959E-4
24101.1	-4.16643488041906E-4	-4.00436264024388E-4
24101.256	-4.19464239794659E-4	-3.98645154691148E-4
24101.412	-4.22187541932074E-4	-3.96192610232888E-4
24101.568	-4.24372696127321E-4	-3.90400010716821E-4
24101.725	-4.26558685945587E-4	-3.84607411200754E-4
24101.879	-4.28044418505257E-4	-3.76690875037915E-4
24102.035	-4.29516484003578E-4	-3.68591151595012E-4
24102.191	-4.30402174184076E-4	-3.60097243100752E-4
24102.346	-4.31074354236705E-4	-3.51578473684363E-4
24102.5	-4.31294781951031E-4	-3.43294888586015E-4
24102.656	-4.31101484770889E-4	-3.35097689373646E-4
24102.812	-4.30599548982329E-4	-3.27018181132197E-4
24102.969	-4.29442784682223E-4	-3.19160048568133E-4
24103.125	-4.28154156515212E-4	-3.1127412919152E-4
24103.281	-4.25945970193007E-4	-3.03228417784896E-4
24103.436	-4.2376388138357E-4	-2.95277686215899E-4
24103.592	-4.20518227176296E-4	-2.86961758263883E-4
24103.748	-4.17178897345428E-4	-2.78630370735967E-4
24103.904	-4.12986909569549E-4	-2.70632139111678E-4
24104.06	-4.08472860133105E-4	-2.62740416999809E-4
24104.217	-4.03331879670315E-4	-2.55777525841836E-4
24104.373	-3.97647726888916E-4	-2.49529935036546E-4
24104.527	-3.91669655237468E-4	-2.44354266044171E-4
24104.684	-3.84888121271046E-4	-2.40826922203097E-4
24104.84	-3.77966920564899E-4	-2.37879512762696E-4
24104.996	-3.70233286028924E-4	-2.37568594109159E-4
24105.152	-3.62496713181955E-4	-2.37257439464233E-4
24105.309	-3.54047657739275E-4	-2.39943283408151E-4
24105.463	-3.45670120895991E-4	-2.42607696189299E-4
24105.62	-3.36815704485514E-4	-2.47092716032982E-4
24105.775	-3.27844935024232E-4	-2.52023583136571E-4
24105.932	-3.1876049872779E-4	-2.57668692525011E-4
24106.088	-3.0959734163954E-4	-2.63750011715501E-4
24106.244	-3.00478711544215E-4	-2.69842896113357E-4
24106.4	-2.91433999473481E-4	-2.75952162951677E-4
24106.555	-2.8258044651637E-4	-2.81749498315813E-4
24106.71	-2.73933184606691E-4	-2.86925825593988E-4
24106.867	-2.65299235115693E-4	-2.91984154547871E-4
24107.023	-2.57288422436193E-4	-2.95526346837346E-4
24107.18	-2.49274578802217E-4	-2.99069877823831E-4
24107.336	-2.41932161546155E-4	-3.00774656953216E-4
24107.492	-2.34709292430308E-4	-3.02270213302658E-4
24107.646	-2.28141057415317E-4	-3.02233060083363E-4
24107.803	-2.21779257240392E-4	-3.01600635454124E-4
24107.959	-2.15823857543048E-4	-2.99983242713294E-4
24108.115	-2.10311289583683E-4	-2.97524557825752E-4
24108.271	-2.05038000278118E-4	-2.94621333408828E-4
24108.428	-2.00305358961349E-4	-2.9095711163087E-4
24108.584	-1.95664510847086E-4	-2.87201580293664E-4
24108.74	-1.91617755411899E-4	-2.83089344465947E-4
24108.895	-1.8761982960489E-4	-2.79029921828061E-4
24109.05	-1.84139885994076E-4	-2.75094462678266E-4
24109.207	-1.80686862347831E-4	-2.71157522362061E-4
24109.363	-1.77652987574221E-4	-2.67546621031883E-4
24109.52	-1.7473517391107E-4	-2.63991355736273E-4
24109.676	-1.7212523192064E-4	-2.60464239539289E-4
24109.832	-1.69709051119016E-4	-2.56948614018832E-4
24109.988	-1.67511883711821E-4	-2.53108027517369E-4
24110.143	-1.65610099404556E-4	-2.4902232248939E-4
24110.299	-1.6381419059503E-4	-2.44491227052867E-4
24110.455	-1.62370031253559E-4	-2.3922817589399E-4
24110.61	-1.60987592087319E-4	-2.33821457034529E-4
24110.766	-1.60011049677275E-4	-2.27373485311015E-4
24110.922	-1.59034140559605E-4	-2.20911358135571E-4
24111.076	-1.58475532321618E-4	-2.1371460430287E-4
24111.232	-1.57939141949834E-4	-2.06422221622733E-4
24111.389	-1.57700924740216E-4	-1.98791711581749E-4
24111.545	-1.5755665079557E-4	-1.91100530775973E-4
24111.701	-1.5760297860737E-4	-1.83348208727815E-4
