0	1	2	Energy	LOF
1.000024056618809e-10	1.0000236749796443e-10	0.9999999997999999	24100.021	0.004292276350702933
0.0019464925277009643	0.01556134494423364	0.9824921625280789	24100.178	0.009761579855734125
0.005868973801302146	0.024947593008584693	0.9691834331901111	24100.332000000002	0.013486950230756333
0.0021979233960052404	0.021973866684274063	0.975828209919731	24100.487999999998	0.011898222667701864
0.006508374347616461	0.025419646491797745	0.9680719791605858	24100.645	0.014748080288503622
0.0010483064231315972	0.02391687431134265	0.975034819265523	24100.8	0.015839255376124
0.0035650388797472564	0.05645876257918542	0.939976198541062	24100.957000000002	0.015103011445386985
1.5044947756677474e-06	0.2566605543140372	0.7433379411911871	24101.112999999998	0.0065003326634980214
0.09690033328253707	0.9030996667174628	2.2065682614424986e-15	24101.267999999996	0.00707251392118503
0.2170107496768434	0.7829892503231674	-4.343747583845925e-15	24101.424	0.0003923397922342588
0.2193284328258595	0.7806715671741515	-1.1338152638984411e-14	24101.58	0.0087253713701203
0.21421079053075018	0.785789209469246	-5.551115123125783e-15	24101.736	0.010524719389887895
0.22369928865046074	0.7763007113495481	-1.304512053934559e-15	24101.892999999996	0.003907166088809351
0.2227382530180774	0.777261746981922	-1.27675647831893e-14	24102.047000000002	0.0037436086147772368
0.2180687580699883	0.781931241930008	-7.41073868937292e-15	24102.202999999998	0.009122978014386416
0.21686327317909315	0.7831367268209194	-3.2335245592207684e-15	24102.36	0.008932831679496938
0.2196412144001135	0.7803587855999011	-3.649858193455202e-15	24102.516	0.013982378837100256
0.22435869275112807	0.7756413072488733	-6.411537967210279e-15	24102.672000000002	0.007269257747624412
0.22130543659242202	0.7786945634075789	-4.246603069191224e-15	24102.827999999998	0.009888858645400525
0.22587421327032065	0.7741257867296906	-1.086630785351872e-14	24102.982000000004	0.010013899805821931
0.2254214580964017	0.774578541903601	-8.326672684688674e-16	24103.139	0.01145115394567357
0.2301104975279739	0.7698895024720316	-5.023759186428833e-15	24103.295	0.005015369992356262
0.2254547824427644	0.7745452175572545	-1.2490009027033011e-15	24103.451	0.0097566872689672
0.23170708270216825	0.768292917297845	3.649858193455202e-15	24103.607000000004	0.0012662420642100501
0.23014844133447643	0.7698515586655279	-4.690692279041286e-15	24103.764	0.004446698352368486
0.23239585795466694	0.7676041420453291	-3.6637359812630166e-15	24103.917999999998	0.007494556199273495
0.23265483933815703	0.7673451606618544	-3.58046925441613e-15	24104.074	3.534311321383115e-05
0.2338909989050026	0.7661090010950038	-1.0158540675320182e-14	24104.23	0.002652987677686155
0.2360378797982365	0.7639621202017864	-7.049916206369744e-15	24104.387000000002	0.002073134616531125
0.23598900846936144	0.7640109915306414	-4.135580766728708e-15	24104.542999999998	0.001981241547386005
0.2333472622070227	0.7666527377929877	-4.440892098500626e-15	24104.7	0.003545059343509056
0.23748912885711887	0.762510871142884	-2.1094237467877974e-15	24104.855	0.014155557088140725
0.2387842988828354	0.7612157011171701	-1.5959455978986625e-15	24105.01	0.0014496459442368405
0.24131024829265393	0.7586897517073496	-9.256484467812243e-15	24105.166	0.006567653276917009
0.2365234987854309	0.7634765012145807	-1.1102230246251565e-16	24105.322	0.014184989348285703
0.24091346566286606	0.7590865343371473	-5.384581669432009e-15	24105.479	0.00796354312634701
0.24261708114801966	0.7573829188519814	1.4432899320127035e-15	24105.635	0.0028412963925171925
0.24382883756956256	0.7561711624304521	-2.248201624865942e-15	24105.791	0.006341880021532545
0.24264340136106946	0.7573565986389417	-7.716050021144838e-15	24105.945	0.003846063767911353
0.24760999319089566	0.7523900068091159	-7.549516567451064e-15	24106.102000000003	0.0029990167626892856
0.24955689240447998	0.7504431075955194	-7.854827899222983e-15	24106.257999999998	0.0001018114771595142
0.24820133969433678	0.7517986603056539	-1.2212453270876722e-15	24106.414	0.0031266876922087655
0.24707689783334325	0.7529231021666576	-4.315992008230296e-15	24106.57	0.004822825103685109
0.254174803165932	0.7458251968340648	-1.0769163338864018e-14	24106.727000000003	0.00591963261380229
0.2509536037657792	0.7490463962342215	-9.353628982466944e-15	24106.882999999998	0.006429216010054642
0.25130910923377586	0.7486908907662393	-7.313594174718219e-15	24107.037	0.006109772241077744
0.2501304882087688	0.7498695117912361	-3.469446951953614e-15	24107.191000000003	0.016307850722181442
0.2516311386579718	0.7483688613420358	-7.28583859910259e-15	24107.347999999998	0.004500455850621804
0.25596717574354605	0.744032824256461	-2.733924198139448e-15	24107.504	0.002902795583948478
0.25533199712506016	0.7446680028749428	-9.936496070395151e-15	24107.66	0.005820426585276139
0.2577244065691609	0.7422755934308373	-5.88418203051333e-15	24107.816000000003	0.003343375666084515
0.2602856075425281	0.7397143924574833	-7.979727989493313e-15	24107.97	0.005645242990119996
0.25944188138427604	0.7405581186157207	-9.450773497121645e-15	24108.127	0.005891916058436005
0.25897974902513554	0.7410202509748617	-5.065392549852277e-15	24108.283	0.00034429408161399956
0.26025309369048616	0.7397469063095276	-2.8449465006019636e-15	24108.44	0.006003597341897002
0.26337814363287315	0.7366218563671388	-1.4016565685892601e-15	24108.596	0.0035066806611120443
0.2673795580974494	0.7326204419025713	-5.925815393936773e-15	24108.752	0.0010789483852842283
0.26776003093938083	0.7322399690606246	-4.413136522884997e-15	24108.908	0.0031798093084131687
0.26518386875562466	0.7348161312443783	-8.201772594418344e-15	24109.064	0.011699395906243214
0.27340129399967106	0.7265987060003329	-4.135580766728708e-15	24109.218999999997	0.008118383993761089
0.27230637968613697	0.7276936203138603	-4.5102810375396984e-15	24109.375	0.0012651572818835743
0.2748026565214416	0.7251973434785647	-6.63358257213531e-15	24109.531000000003	0.0054699298919772205
0.26927579787553546	0.7307242021244627	-6.13398221105399e-15	24109.688	0.005452010567897922
0.2732012992872005	0.7267987007128112	-2.733924198139448e-15	24109.843999999997	0.0013963009146101405
0.2767768146881185	0.723223185311876	-5.190292640122607e-15	24110.0	0.003683811243107472
0.27942494969247783	0.7205750503075299	-5.648259637780484e-15	24110.156000000003	0.00025218256709803844
0.27800014959280084	0.7219998504072032	-4.6629367034256575e-15	24110.312	0.0035325867810770527
0.2743648967712023	0.7256351032288094	5.578870698741412e-15	24110.467	0.0038134419016274523
0.28160178428722005	0.7183982157127795	-6.869504964868156e-15	24110.623	0.00316933232681992
0.2785731598174205	0.7214268401825784	-8.604228440844963e-16	24110.78	0.005454040436070202
0.28103238077177345	0.7189676192282288	-9.520162436160717e-15	24110.936	0.004148509477767953
0.2817684150000394	0.7182315849999767	5.079270337660091e-15	24111.092	0.0016795203221340968
0.2820796097017098	0.7179203902983021	-1.5959455978986625e-15	24111.248	0.009342442616245228
0.2847782745146459	0.7152217254853497	-6.161737786669619e-15	24111.404	0.005462999030196122
0.288281189949106	0.7117188100508975	3.70536934468646e-15	24111.56	0.001402017550878236
0.2906787634791963	0.7093212365208107	-1.7208456881689926e-15	24111.717	0.0012317553543629567
0.28889635556206017	0.7111036444379514	-7.882583474838611e-15	24111.871	0.0027520989274590377
0.2878363685257923	0.7121636314742028	-3.733124920302089e-15	24112.027000000002	0.0026212619342220814
0.28649582470123974	0.7135041752987705	-1.0158540675320182e-14	24112.183999999997	0.006086898288125637
0.2903569494373529	0.7096430505626519	-6.231126725708691e-15	24112.34	0.0028950471910909412
0.28697091167164374	0.7130290883283656	-1.2878587085651816e-14	24112.496	0.011860498247143256
0.29273725454309124	0.7072627454569006	-4.871103520542874e-15	24112.652000000002	0.002402062086927169
0.29526037150051165	0.7047396284994946	8.743006318923108e-16	24112.808999999997	0.005806834399455163
0.29392248069727755	0.7060775193027347	-8.729128531115293e-15	24112.965	0.002921202859689917
0.2923870926178928	0.7076129073821155	-3.3029134982598407e-15	24113.121	0.023870671866095886
0.29661581760819966	0.7033841823918086	-6.925016116099414e-15	24113.277000000002	0.0014569654501137333
0.2979097924618338	0.7020902075381704	9.159339953157541e-16	24113.432	0.007539893906183769
0.3032023064459443	0.696797693554058	-3.094746681142624e-15	24113.588	0.004590079200785871
0.3006659776987264	0.6993340223012634	4.760081218080359e-15	24113.744	0.007522399803492193
0.29671726055017666	0.7032827394498317	-2.5673907444456745e-15	24113.9	0.001352892775680663
0.303959615400265	0.6960403845997436	-8.743006318923108e-16	24114.057	0.001307467325170265
0.3010425134021254	0.6989574865978702	6.827871601444713e-15	24114.213	0.008290574960111319
0.30507234380607356	0.6949276561939397	-4.871103520542874e-15	24114.37	0.003898020276957931
0.30500250409722657	0.6949974959027793	-5.717648576819556e-15	24114.525	0.004986620255383244
